Batch 1 predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 soft predictions: ['javelin throw', 'singing', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'hugging baby', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'applying cream', 'training dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'waking up', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'playing basketball', 'bowling', 'mopping floor', 'playing guitar', 'playing harmonica', 'juggling soccer ball', 'high kick', 'busking', 'playing xylophone', 'welding', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'laughing', 'wrestling', 'planting trees', 'shot put', 'unloading truck', 'hopscotch', 'laying bricks', 'throwing ball (not baseball or American football)', 'playing saxophone', 'hugging (not baby)', 'smoking', 'spraying', 'presenting weather forecast', 'disc golfing']
Batch 1 true labels: ['javelin throw', 'using megaphone', 'assembling computer', 'ironing', 'hurdling', 'country line dancing', 'waiting in line', 'filling eyebrows', 'grinding meat', 'eating doughnuts', 'snatch weight lifting', 'washing dishes', 'doing nails', 'walking the dog', 'skydiving', 'grinding meat', 'krumping', 'smoking hookah', 'tobogganing', 'playing guitar', 'catching fish', 'riding a bike', 'cartwheeling', 'somersaulting', 'catching or throwing softball', 'spinning poi', 'carving pumpkin', 'carving pumpkin', 'throwing discus', 'water skiing', 'ice climbing', 'cooking chicken', 'shooting basketball', 'bowling', 'mopping floor', 'playing piano', 'eating hotdog', 'juggling soccer ball', 'catching or throwing baseball', 'busking', 'playing xylophone', 'spraying', 'changing oil', 'opening present', 'eating cake', 'paragliding', 'riding mechanical bull', 'cooking egg', 'bending back', 'grinding meat', 'eating chips', 'faceplanting', 'planting trees', 'stretching arm', 'unloading truck', 'hopscotch', 'laying bricks', 'tai chi', 'playing saxophone', 'egg hunting', 'shaking hands', 'blasting sand', 'presenting weather forecast', 'disc golfing']
Batch 1 top 5 predictions:
['javelin throw', 'shot put', 'throwing discus', 'hammer throw', 'high jump']
Batch 48 top 5 predictions:
['playing squash or racquetball', 'playing tennis', 'throwing ball (not baseball or American football)', 'shaking hands', 'playing badminton']
['pushing wheelchair', 'checking tires', 'changing wheel (not on bike)', 'riding a bike', 'using segway']
['sailing', 'parasailing', 'windsurfing', 'abseiling', 'scuba diving']
['playing ice hockey', 'hockey stop', 'ice skating', 'tossing coin', 'dodgeball']
['baby waking up', 'waking up', 'sneezing', 'yawning', 'crying']
['picking blueberries', 'planting trees', 'trimming trees', 'picking apples', 'jogging']
['dunking basketball', 'shooting basketball', 'playing basketball', 'dribbling basketball', 'pumping fist']
['dyeing hair', 'washing hair', 'shaving head', 'fixing hair', 'getting a haircut']
['playing basketball', 'dunking basketball', 'shooting basketball', 'dodgeball', 'playing volleyball']
['hugging (not baby)', 'shoot dance', 'dancing gangnam style', 'robot dancing', 'high fiving']
['kissing', 'waiting in line', 'whistling', 'shouting', 'slapping']
['tasting food', 'making jewelry', 'adjusting glasses', 'peeling potatoes', 'tying knot (not on a tie)']
['adjusting glasses', 'answering questions', 'listening with headphones', 'whistling', 'winking']
['alligator wrestling', 'petting animal (not cat)', 'ice fishing', 'hugging (not baby)', 'shearing sheep']
['cutting watermelon', 'eating watermelon', 'cutting pineapple', 'sharpening knives', 'driving tractor']
['blowing nose', 'coughing', 'eating doughnuts', 'playing harmonica', 'sneezing']
['cooking on campfire', 'cooking sausages (not on barbeque)', 'barbequing', 'cooking chicken', 'extinguishing fire']
['breading or breadcrumbing', 'cooking chicken', 'making a sandwich', 'cooking sausages (not on barbeque)', 'cooking egg']
['sweeping floor', 'hula hooping', 'mopping floor', 'spinning poi', 'air drumming']
['riding mule', 'crossing river', 'riding or walking with horse', 'wading through mud', 'riding camel']
['plastering', 'spraying', 'laying bricks', 'digging', 'spray painting']
['tying bow tie', 'tying necktie', 'tying knot (not on a tie)', 'adjusting glasses', 'braiding hair']
['folding paper', 'bookbinding', 'folding napkins', 'wrapping present', 'ripping paper']
['cracking neck', 'beatboxing', 'slapping', 'fixing hair', 'singing']
['playing accordion', 'playing clarinet', 'busking', 'playing violin', 'playing saxophone']
['ice climbing', 'abseiling', 'rock climbing', 'bungee jumping', 'paragliding']
['grooming horse', 'petting animal (not cat)', 'riding or walking with horse', 'massaging', 'braiding hair']
['splashing water', 'watering plants', 'uncorking champagne', 'flipping bottle', 'gargling']
['bee keeping', 'making tea', 'barbequing', 'blasting sand', 'swing dancing']
['waxing', 'blowing nose', 'crying', 'getting a haircut', 'sneezing']
['answering questions', 'shaking head', 'testifying', 'laughing', 'headbanging']
['waxing', 'shaving legs', 'bandaging', 'getting a tattoo', 'tickling']
['making sushi', 'dining', 'making a sandwich', 'news anchoring', 'laughing']
['eating burger', 'eating ice cream', 'eating cake', 'tasting food', 'dining']
['springboard diving', 'somersaulting', 'swimming', 'high kick', 'jumping into pool']
['marching', 'high kick', 'playing trombone', 'playing cymbals', 'playing trumpet']
['exercising arm', 'front raises', 'stretching arm', 'situp', 'brushing hair']
['writing', 'doing sudoku', 'bookbinding', 'drawing', 'making jewelry']
['bouncing on trampoline', 'somersaulting', 'gymnastics tumbling', 'faceplanting', 'skipping rope']
['pumping gas', 'running on treadmill', 'pumping fist', 'dancing gangnam style', 'shining shoes']
['jogging', 'lunge', 'zumba', 'skipping rope', 'high kick']
['cooking egg', 'dining', 'making a sandwich', 'tasting food', 'eating burger']
['skydiving', 'paragliding', 'bungee jumping', 'parasailing', 'abseiling']
['dining', 'tasting food', 'eating burger', 'eating cake', 'barbequing']
['playing violin', 'playing cello', 'whistling', 'playing piano', 'beatboxing']
['waiting in line', 'slapping', 'high fiving', 'hugging (not baby)', 'shaking head']
['playing paintball', 'robot dancing', 'pumping fist', 'motorcycling', 'riding mechanical bull']
['spray painting', 'brush painting', 'blasting sand', 'bending metal', 'sharpening knives']
['kitesurfing', 'surfing water', 'windsurfing', 'snowkiting', 'water skiing']
['riding elephant', 'crossing river', 'wading through mud', 'catching fish', 'splashing water']
['playing flute', 'playing recorder', 'playing ukulele', 'playing harmonica', 'whistling']
['playing chess', 'building lego', 'slapping', 'arm wrestling', 'headbutting']
['waking up', 'massaging', 'splashing water', 'shaving legs', 'slapping']
['doing laundry', 'folding clothes', 'ironing', 'shaking hands', 'high fiving']
['eating watermelon', 'eating hotdog', 'eating cake', 'cutting watermelon', 'eating ice cream']
['windsurfing', 'kitesurfing', 'surfing water', 'sailing', 'canoeing or kayaking']
['flipping bottle', 'robot dancing', 'shoot dance', 'hoverboarding', 'beatboxing']
['grinding meat', 'baking cookies', 'cooking sausages (not on barbeque)', 'making a cake', 'blending fruit']
['peeling potatoes', 'peeling apples', 'flipping pancake', 'making pizza', 'cooking chicken']
['shooting basketball', 'shot put', 'throwing ball (not baseball or American football)', 'dodgeball', 'dunking basketball']
['waking up', 'hugging baby', 'hugging (not baby)', 'kissing', 'baby waking up']
['building shed', 'plastering', 'cleaning', 'laying bricks', 'spraying']
['eating doughnuts', 'headbutting', 'eating hotdog', 'drinking shots', 'throwing axe']
['smoking hookah', 'smoking', 'beatboxing', 'whistling', 'coughing']

Batch 49 predictions: ['high kick', 'belly dancing', 'playing trombone', 'trimming or shaving beard', 'riding a bike', 'stomping grapes', 'opening bottle (not wine)', 'disc golfing', 'ice skating', 'hammer throw', 'filling eyebrows', 'golf chipping', 'playing paintball', 'setting table', 'grooming horse', 'rock climbing', 'bench pressing', 'arranging flowers', 'shaving legs', 'making snowman', 'catching or throwing frisbee', 'playing violin', 'cracking neck', 'stretching arm', 'shot put', 'springboard diving', 'playing poker', 'skydiving', 'swimming', 'scrambling eggs', 'skydiving', 'bandaging', 'shoveling snow', 'smoking hookah', 'stretching leg', 'tasting beer', 'making the bed', 'slacklining', 'dancing ballet', 'bandaging', 'kitesurfing', 'rock climbing', 'contact juggling', 'tapping pen', 'slapping', 'ironing', 'tapping pen', 'washing hands', 'golf chipping', 'blasting sand', 'dunking basketball', 'walking the dog', 'brush painting', 'hugging (not baby)', 'disc golfing', 'ironing', 'making pizza', 'lunge', 'lunge', 'shoveling snow', 'building lego', 'washing feet', 'arm wrestling', 'skipping rope']
Batch 49 soft predictions: ['high kick', 'belly dancing', 'playing trombone', 'trimming or shaving beard', 'riding a bike', 'stomping grapes', 'opening bottle (not wine)', 'disc golfing', 'ice skating', 'hammer throw', 'filling eyebrows', 'golf chipping', 'playing paintball', 'setting table', 'grooming horse', 'rock climbing', 'bench pressing', 'arranging flowers', 'shaving legs', 'making snowman', 'catching or throwing frisbee', 'playing violin', 'cracking neck', 'stretching arm', 'shot put', 'springboard diving', 'playing poker', 'skydiving', 'swimming', 'scrambling eggs', 'skydiving', 'bandaging', 'shoveling snow', 'smoking hookah', 'stretching leg', 'tasting beer', 'making the bed', 'slacklining', 'dancing ballet', 'bandaging', 'kitesurfing', 'rock climbing', 'contact juggling', 'tapping pen', 'slapping', 'ironing', 'tapping pen', 'washing hands', 'golf chipping', 'blasting sand', 'dunking basketball', 'walking the dog', 'brush painting', 'hugging (not baby)', 'disc golfing', 'ironing', 'making pizza', 'lunge', 'lunge', 'shoveling snow', 'building lego', 'washing feet', 'arm wrestling', 'skipping rope']
Batch 49 true labels: ['high kick', 'tasting beer', 'playing trombone', 'trimming or shaving beard', 'riding a bike', 'stomping grapes', 'opening bottle (not wine)', 'disc golfing', 'hockey stop', 'hammer throw', 'filling eyebrows', 'golf chipping', 'playing paintball', 'setting table', 'grooming horse', 'egg hunting', 'bench pressing', 'arranging flowers', 'applying cream', 'making snowman', 'triple jump', 'playing violin', 'cracking neck', 'stretching arm', 'shot put', 'springboard diving', 'playing poker', 'skydiving', 'swimming', 'scrambling eggs', 'skydiving', 'shaving legs', 'shoveling snow', 'smoking hookah', 'stretching leg', 'tasting beer', 'petting animal (not cat)', 'slacklining', 'dancing ballet', 'bandaging', 'kitesurfing', 'rock climbing', 'contact juggling', 'tapping pen', 'applying cream', 'ironing', 'tapping pen', 'washing hands', 'golf chipping', 'pumping gas', 'dunking basketball', 'walking the dog', 'brush painting', 'punching person (boxing)', 'disc golfing', 'rock scissors paper', 'making pizza', 'skipping rope', 'lunge', 'shoveling snow', 'building lego', 'washing feet', 'arm wrestling', 'skipping rope']
Batch 49 top 5 predictions:
['high kick', 'side kick', 'punching person (boxing)', 'punching bag', 'headbutting']
['belly dancing', 'riding mechanical bull', 'celebrating', 'salsa dancing', 'somersaulting']
['playing trombone', 'playing trumpet', 'playing clarinet', 'playing flute', 'playing saxophone']
['trimming or shaving beard', 'shaving legs', 'washing hair', 'brushing teeth', 'applying cream']
['riding a bike', 'riding scooter', 'riding unicycle', 'faceplanting', 'motorcycling']
['stomping grapes', 'feeding fish', 'petting animal (not cat)', 'tossing coin', 'shaking hands']
['opening bottle (not wine)', 'tasting beer', 'auctioning', 'texting', 'uncorking champagne']
['disc golfing', 'catching or throwing frisbee', 'throwing axe', 'throwing discus', 'playing kickball']
['ice skating', 'hockey stop', 'playing ice hockey', 'roller skating', 'drop kicking']
['hammer throw', 'throwing discus', 'shot put', 'javelin throw', 'throwing ball (not baseball or American football)']
['filling eyebrows', 'applying cream', 'waxing', 'fixing hair', 'adjusting glasses']
['golf chipping', 'golf driving', 'golf putting', 'flying kite', 'spinning poi']
['playing paintball', 'wading through mud', 'planting trees', 'blowing leaves', 'bee keeping']
['setting table', 'folding napkins', 'arranging flowers', 'celebrating', 'blowing out candles']
['grooming horse', 'riding or walking with horse', 'petting animal (not cat)', 'bandaging', 'shaking hands']
['rock climbing', 'disc golfing', 'egg hunting', 'riding mule', 'playing kickball']
['bench pressing', 'situp', 'exercising arm', 'snatch weight lifting', 'front raises']
['arranging flowers', 'tossing salad', 'setting table', 'watering plants', 'frying vegetables']
['shaving legs', 'applying cream', 'waxing', 'washing hands', 'washing feet']
['making snowman', 'chopping wood', 'shoveling snow', 'cleaning', 'digging']
['catching or throwing frisbee', 'shot put', 'throwing discus', 'throwing ball (not baseball or American football)', 'catching or throwing baseball']
['playing violin', 'busking', 'singing', 'playing flute', 'playing cello']
['cracking neck', 'beatboxing', 'coughing', 'winking', 'sneezing']
['stretching arm', 'stretching leg', 'exercising arm', 'bending back', 'pull ups']
['shot put', 'throwing discus', 'hammer throw', 'throwing ball (not baseball or American football)', 'catching or throwing softball']
['springboard diving', 'somersaulting', 'jumping into pool', 'diving cliff', 'splashing water']
['playing poker', 'playing cards', 'shuffling cards', 'building lego', 'playing slot machine']
['skydiving', 'parasailing', 'bungee jumping', 'paragliding', 'sailing']
['swimming', 'pumping fist', 'gargling', 'applauding', 'clapping']
['scrambling eggs', 'cooking egg', 'cooking sausages (not on barbeque)', 'breading or breadcrumbing', 'frying vegetables']
['skydiving', 'motorcycling', 'driving car', 'faceplanting', 'changing wheel (not on bike)']
['bandaging', 'slapping', 'getting a tattoo', 'cracking neck', 'crying']
['shoveling snow', 'snowmobiling', 'biking through snow', 'driving tractor', 'digging']
['smoking hookah', 'washing feet', 'eating cake', 'making a cake', 'holding snake']
['stretching leg', 'situp', 'wrestling', 'stretching arm', 'exercising arm']
['tasting beer', 'opening bottle (not wine)', 'drinking shots', 'driving car', 'gargling']
['making the bed', 'petting cat', 'petting animal (not cat)', 'brushing hair', 'hugging (not baby)']
['slacklining', 'skateboarding', 'contact juggling', 'riding unicycle', 'flipping bottle']
['dancing ballet', 'tap dancing', 'stretching leg', 'tango dancing', 'yoga']
['bandaging', 'waxing', 'stretching arm', 'folding napkins', 'shaking hands']
['kitesurfing', 'surfing water', 'windsurfing', 'water skiing', 'snowkiting']
['rock climbing', 'abseiling', 'climbing', 'ice climbing', 'slacklining']
['contact juggling', 'throwing ball (not baseball or American football)', 'headbutting', 'juggling balls', 'slapping']
['tapping pen', 'drumming fingers', 'sharpening pencil', 'drawing', 'writing']
['slapping', 'shoot dance', 'cracking neck', 'headbutting', 'punching bag']
['ironing', 'folding clothes', 'making the bed', 'moving furniture', 'grooming dog']
['tapping pen', 'drumming fingers', 'drawing', 'writing', 'sharpening pencil']
['washing hands', 'washing hair', 'applying cream', 'brushing teeth', 'washing feet']
['golf chipping', 'golf driving', 'golf putting', 'pumping fist', 'exercising arm']
['blasting sand', 'spraying', 'pumping gas', 'opening bottle (not wine)', 'changing oil']
['dunking basketball', 'playing basketball', 'shooting basketball', 'dribbling basketball', 'dodgeball']
['walking the dog', 'training dog', 'jogging', 'riding a bike', 'riding or walking with horse']
['brush painting', 'drawing', 'spray painting', 'sharpening pencil', 'filling eyebrows']
['hugging (not baby)', 'jaywalking', 'kissing', 'directing traffic', 'salsa dancing']
['disc golfing', 'catching or throwing frisbee', 'throwing discus', 'passing American football', 'catching or throwing baseball']
['ironing', 'slapping', 'making tea', 'celebrating', 'punching bag']
['making pizza', 'dining', 'flipping pancake', 'cooking sausages (not on barbeque)', 'barbequing']
['lunge', 'doing aerobics', 'zumba', 'shoot dance', 'running on treadmill']
['lunge', 'squat', 'clean and jerk', 'snatch weight lifting', 'exercising arm']
['shoveling snow', 'sweeping floor', 'digging', 'making snowman', 'planting trees']
['building lego', 'folding paper', 'wrapping present', 'flipping bottle', 'spray painting']
['washing feet', 'washing dishes', 'splashing water', 'doing laundry', 'washing hair']
['arm wrestling', 'rock scissors paper', 'high fiving', 'shaking hands', 'wrestling']
['skipping rope', 'dodgeball', 'jogging', 'shoot dance', 'doing aerobics']

Batch 50 predictions: ['brush painting', 'watching tv', 'shaking hands', 'watering plants', 'ice climbing', 'playing xylophone', 'laying bricks', 'headbutting', 'tossing salad', 'ice fishing', 'playing drums', 'waxing', 'cartwheeling', 'cleaning', 'situp', 'eating watermelon', 'slapping', 'hopscotch', 'squat', 'grinding meat', 'waxing', 'archery', 'moving furniture', 'shooting goal (soccer)', 'bartending', 'shouting', 'beatboxing', 'snowboarding', 'headbutting', 'marching', 'archery', 'crying', 'playing bass guitar', 'riding elephant', 'blending fruit', 'wrestling', 'celebrating', 'smoking', 'doing nails', 'playing bagpipes', 'building cabinet', 'shredding paper', 'riding unicycle', 'arranging flowers', 'snowboarding', 'long jump', 'playing cymbals', 'tap dancing', 'deadlifting', 'playing basketball', 'doing nails', 'bouncing on trampoline', 'dancing macarena', 'bobsledding', 'shot put', 'playing tennis', 'jetskiing', 'swing dancing', 'brushing teeth', 'dancing gangnam style', 'swimming', 'scuba diving', 'playing saxophone', 'deadlifting']
Batch 50 soft predictions: ['brush painting', 'watching tv', 'shaking hands', 'watering plants', 'ice climbing', 'playing xylophone', 'laying bricks', 'headbutting', 'tossing salad', 'ice fishing', 'playing drums', 'waxing', 'cartwheeling', 'cleaning', 'situp', 'eating watermelon', 'slapping', 'hopscotch', 'squat', 'grinding meat', 'waxing', 'archery', 'moving furniture', 'shooting goal (soccer)', 'bartending', 'shouting', 'beatboxing', 'snowboarding', 'headbutting', 'marching', 'archery', 'crying', 'playing bass guitar', 'riding elephant', 'blending fruit', 'wrestling', 'celebrating', 'smoking', 'doing nails', 'playing bagpipes', 'building cabinet', 'shredding paper', 'riding unicycle', 'arranging flowers', 'snowboarding', 'long jump', 'playing cymbals', 'tap dancing', 'deadlifting', 'playing basketball', 'doing nails', 'bouncing on trampoline', 'dancing macarena', 'bobsledding', 'shot put', 'playing tennis', 'jetskiing', 'swing dancing', 'brushing teeth', 'dancing gangnam style', 'swimming', 'scuba diving', 'playing saxophone', 'deadlifting']
Batch 50 true labels: ['ironing', 'watching tv', 'rock scissors paper', 'spraying', 'ice climbing', 'arranging flowers', 'laying bricks', 'slapping', 'tossing salad', 'ice fishing', 'drumming fingers', 'waxing', 'somersaulting', 'cleaning', 'headbanging', 'eating watermelon', 'punching person (boxing)', 'hopscotch', 'squat', 'grinding meat', 'bandaging', 'archery', 'moving furniture', 'kicking soccer ball', 'bartending', 'sneezing', 'playing harmonica', 'skiing mono', 'shaking head', 'sign language interpreting', 'archery', 'massaging', 'playing bass guitar', 'riding elephant', 'blending fruit', 'skateboarding', 'holding snake', 'smoking', 'doing nails', 'playing bagpipes', 'building cabinet', 'shredding paper', 'riding unicycle', 'arranging flowers', 'snowboarding', 'triple jump', 'playing cymbals', 'tango dancing', 'deadlifting', 'dunking basketball', 'doing nails', 'bouncing on trampoline', 'salsa dancing', 'bobsledding', 'throwing discus', 'playing tennis', 'jetskiing', 'swing dancing', 'brushing teeth', 'dancing macarena', 'jumping into pool', 'scuba diving', 'playing saxophone', 'deadlifting']
Batch 50 top 5 predictions:
['brush painting', 'bookbinding', 'adjusting glasses', 'sharpening pencil', 'reading book']
['watching tv', 'playing didgeridoo', 'playing recorder', 'playing harmonica', 'playing harp']
['shaking hands', 'slapping', 'headbutting', 'rock scissors paper', 'high fiving']
['watering plants', 'spraying', 'cleaning', 'trimming trees', 'blowing leaves']
['ice climbing', 'abseiling', 'bungee jumping', 'skiing mono', 'snowboarding']
['playing xylophone', 'tapping guitar', 'playing saxophone', 'playing flute', 'playing organ']
['laying bricks', 'plastering', 'clapping', 'unloading truck', 'clay pottery making']
['headbutting', 'slapping', 'drop kicking', 'faceplanting', 'wrestling']
['tossing salad', 'blending fruit', 'frying vegetables', 'making pizza', 'cooking sausages (not on barbeque)']
['ice fishing', 'catching fish', 'snowkiting', 'feeding fish', 'ice climbing']
['playing drums', 'drumming fingers', 'playing cymbals', 'air drumming', 'headbutting']
['waxing', 'slapping', 'moving baby', 'bandaging', 'getting a tattoo']
['cartwheeling', 'somersaulting', 'gymnastics tumbling', 'bending back', 'dancing ballet']
['cleaning', 'doing nails', 'shining shoes', 'brushing teeth', 'sharpening pencil']
['situp', 'carrying baby', 'shaking head', 'watching tv', 'hugging baby']
['eating watermelon', 'cutting watermelon', 'opening present', 'whistling', 'winking']
['slapping', 'headbutting', 'waking up', 'wrestling', 'kissing']
['hopscotch', 'walking the dog', 'egg hunting', 'playing harmonica', 'hugging (not baby)']
['squat', 'clean and jerk', 'lunge', 'snatch weight lifting', 'deadlifting']
['grinding meat', 'blending fruit', 'cooking sausages (not on barbeque)', 'making tea', 'tossing salad']
['waxing', 'shaving legs', 'getting a tattoo', 'cutting nails', 'bandaging']
['archery', 'throwing axe', 'uncorking champagne', 'stretching arm', 'exercising arm']
['moving furniture', 'unloading truck', 'building shed', 'faceplanting', 'building cabinet']
['shooting goal (soccer)', 'kicking soccer ball', 'throwing ball (not baseball or American football)', 'juggling soccer ball', 'hurling (sport)']
['bartending', 'drinking shots', 'celebrating', 'kissing', 'tasting beer']
['shouting', 'slapping', 'air drumming', 'pumping fist', 'laughing']
['beatboxing', 'playing violin', 'singing', 'bending metal', 'robot dancing']
['snowboarding', 'skiing mono', 'ski jumping', 'skiing slalom', 'faceplanting']
['headbutting', 'high kick', 'high fiving', 'swing dancing', 'slapping']
['marching', 'directing traffic', 'busking', 'dancing charleston', 'swing dancing']
['archery', 'throwing axe', 'playing paintball', 'disc golfing', 'stretching arm']
['crying', 'baby waking up', 'sneezing', 'waking up', 'yawning']
['playing bass guitar', 'tapping guitar', 'playing guitar', 'recording music', 'headbanging']
['riding elephant', 'petting animal (not cat)', 'crossing river', 'hugging (not baby)', 'wading through mud']
['blending fruit', 'peeling apples', 'grinding meat', 'making tea', 'tossing salad']
['wrestling', 'drop kicking', 'slapping', 'faceplanting', 'tickling']
['celebrating', 'using megaphone', 'playing trumpet', 'playing recorder', 'playing cymbals']
['smoking', 'sharpening pencil', 'building lego', 'adjusting glasses', 'playing harmonica']
['doing nails', 'tasting food', 'cutting nails', 'sticking tongue out', 'making jewelry']
['playing bagpipes', 'playing recorder', 'juggling fire', 'busking', 'marching']
['building cabinet', 'bookbinding', 'bending metal', 'sharpening knives', 'building shed']
['shredding paper', 'bookbinding', 'counting money', 'grinding meat', 'folding paper']
['riding unicycle', 'riding a bike', 'juggling fire', 'skateboarding', 'directing traffic']
['arranging flowers', 'fixing hair', 'curling hair', 'dyeing hair', 'watering plants']
['snowboarding', 'skateboarding', 'ski jumping', 'skiing mono', 'faceplanting']
['long jump', 'triple jump', 'high jump', 'pole vault', 'hurdling']
['playing cymbals', 'playing drums', 'playing trumpet', 'singing', 'using megaphone']
['tap dancing', 'tango dancing', 'dancing charleston', 'jumpstyle dancing', 'swing dancing']
['deadlifting', 'snatch weight lifting', 'clean and jerk', 'front raises', 'bench pressing']
['playing basketball', 'shooting basketball', 'dunking basketball', 'dribbling basketball', 'flipping bottle']
['doing nails', 'cutting nails', 'massaging', 'applying cream', 'shaving legs']
['bouncing on trampoline', 'somersaulting', 'wrestling', 'dancing gangnam style', 'hugging (not baby)']
['dancing macarena', 'salsa dancing', 'dancing gangnam style', 'pumping fist', 'rock scissors paper']
['bobsledding', 'tobogganing', 'snowmobiling', 'motorcycling', 'faceplanting']
['shot put', 'throwing discus', 'hammer throw', 'throwing ball (not baseball or American football)', 'javelin throw']
['playing tennis', 'playing squash or racquetball', 'playing badminton', 'throwing ball (not baseball or American football)', 'playing kickball']
['jetskiing', 'canoeing or kayaking', 'surfing water', 'sailing', 'water skiing']
['swing dancing', 'dancing charleston', 'salsa dancing', 'country line dancing', 'hugging (not baby)']
['brushing teeth', 'trimming or shaving beard', 'playing harmonica', 'brushing hair', 'eating ice cream']
['dancing gangnam style', 'shoot dance', 'krumping', 'pumping fist', 'high kick']
['swimming', 'springboard diving', 'somersaulting', 'jumping into pool', 'splashing water']
['scuba diving', 'feeding fish', 'snorkeling', 'petting animal (not cat)', 'feeding birds']
['playing saxophone', 'playing clarinet', 'playing drums', 'playing trumpet', 'playing piano']
['deadlifting', 'front raises', 'exercising arm', 'clean and jerk', 'lunge']

Batch 51 predictions: ['trapezing', 'shot put', 'skiing mono', 'alligator wrestling', 'beatboxing', 'brushing hair', 'making snowman', 'spray painting', 'playing violin', 'playing badminton', 'making jewelry', 'water sliding', 'finger snapping', 'country line dancing', 'swimming', 'bungee jumping', 'shouting', 'petting animal (not cat)', 'hurling (sport)', 'golf chipping', 'tap dancing', 'pumping gas', 'driving tractor', 'walking the dog', 'skateboarding', 'carving pumpkin', 'busking', 'peeling apples', 'milking cow', 'springboard diving', 'building lego', 'breading or breadcrumbing', 'cutting nails', 'filling eyebrows', 'breakdancing', 'tasting food', 'punching bag', 'blowing leaves', 'grinding meat', 'playing recorder', 'eating burger', 'tap dancing', 'playing slot machine', 'pushing cart', 'playing cello', 'rock climbing', 'walking the dog', 'long jump', 'playing bass guitar', 'doing sudoku', 'kicking field goal', 'bandaging', 'zumba', 'flipping bottle', 'biking through snow', 'eating spaghetti', 'doing sudoku', 'running on treadmill', 'mopping floor', 'blending fruit', 'bending back', 'kitesurfing', 'plastering', 'adjusting glasses']
Batch 51 soft predictions: ['trapezing', 'shot put', 'skiing mono', 'alligator wrestling', 'beatboxing', 'brushing hair', 'making snowman', 'spray painting', 'playing violin', 'playing badminton', 'making jewelry', 'water sliding', 'finger snapping', 'country line dancing', 'swimming', 'bungee jumping', 'shouting', 'petting animal (not cat)', 'hurling (sport)', 'golf chipping', 'tap dancing', 'pumping gas', 'driving tractor', 'walking the dog', 'skateboarding', 'carving pumpkin', 'busking', 'peeling apples', 'milking cow', 'springboard diving', 'building lego', 'breading or breadcrumbing', 'cutting nails', 'filling eyebrows', 'breakdancing', 'tasting food', 'punching bag', 'blowing leaves', 'grinding meat', 'playing recorder', 'eating burger', 'tap dancing', 'playing slot machine', 'pushing cart', 'playing cello', 'rock climbing', 'walking the dog', 'long jump', 'playing bass guitar', 'doing sudoku', 'kicking field goal', 'bandaging', 'zumba', 'flipping bottle', 'biking through snow', 'eating spaghetti', 'doing sudoku', 'running on treadmill', 'mopping floor', 'blending fruit', 'bending back', 'kitesurfing', 'plastering', 'adjusting glasses']
